id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
471358723,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781832007
471180812,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781815858
471160519,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781812947
471134941,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781809840
471132119,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781809411
471124300,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781808229
471115066,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781807066
471081177,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781804030
471058166,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781802428
471052872,Meta Ads,Paid Ads,Tinting,Cold Lead,,0.0,0.0,1781802030
471045630,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781801215
471044857,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781801132
471010671,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781797440
470975627,Meta Ads,Paid Ads,Tinting,,,0.0,0.0,1781793425
470975094,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781793357
470945236,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781790769
470940681,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781790207
470934466,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781789558
470928208,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781788780
470891964,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781785207
470882879,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1781783922
470879316,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781783406
470878395,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781783267
470797881,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781779816
470762863,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781776113
470748895,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781773973
470735616,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781771866
470722168,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781771356
470686371,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781765453
470684698,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781765313
470678115,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781764337
470674257,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781763855
470671005,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781763367
470666737,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781762496
470657112,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781760341
470655280,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781759924
470645237,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781757686
470644297,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781757484
470640428,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781756683
470635979,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781755687
470621708,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781752475
470620076,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781752114
470615084,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781751031
470613002,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781750641
470612146,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781750447
470609402,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781749849
470608904,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781749740
470602722,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1781748674
470602293,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781748603
470600160,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781748192
470599291,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781747998
470598557,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781747840
470595968,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1781747285
470593249,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1781746676
